,task_id,parents,job_id,instances_num,task_type,status,start_time,end_time,cpu,memory,duration,submit_time,disk
0,ID00000,"['ID00006', 'ID00017', 'ID00005', 'ID00016', 'ID00004', 'ID00015', 'ID00003', 'ID00014', 'ID00009', 'ID00008', 'ID00007', 'ID00002', 'ID00013', 'ID00001', 'ID00012', 'ID00011', 'ID00010']",1,10,SIPHT,Terminated,0,100000000000,1,2876.568359375,0.0682,0,0
1,ID00001,[],1,5,SIPHT,Terminated,0,100000000000,1,6136.7373046875,1.1581,0,0
2,ID00002,[],1,5,SIPHT,Terminated,0,100000000000,1,6108.8603515625,1.1849,0,0
3,ID00003,[],1,5,SIPHT,Terminated,0,100000000000,1,6085.4208984375,1.1065,0,0
4,ID00004,[],1,5,SIPHT,Terminated,0,100000000000,1,6111.572265625,1.2429,0,0
5,ID00005,[],1,5,SIPHT,Terminated,0,100000000000,1,6147.552734375,1.0808,0,0
6,ID00006,[],1,5,SIPHT,Terminated,0,100000000000,1,6164.3916015625,1.2886,0,0
7,ID00007,[],1,5,SIPHT,Terminated,0,100000000000,1,6139.1591796875,1.3115,0,0
8,ID00008,[],1,5,SIPHT,Terminated,0,100000000000,1,6082.541015625,1.559,0,0
9,ID00009,[],1,5,SIPHT,Terminated,0,100000000000,1,6081.091796875,1.5021,0,0
10,ID00010,[],1,5,SIPHT,Terminated,0,100000000000,1,6090.6279296875,1.4403,0,0
11,ID00011,[],1,5,SIPHT,Terminated,0,100000000000,1,6121.9716796875,1.287,0,0
12,ID00012,[],1,5,SIPHT,Terminated,0,100000000000,1,6103.421875,1.701,0,0
13,ID00013,[],1,5,SIPHT,Terminated,0,100000000000,1,6132.3916015625,1.148,0,0
14,ID00014,[],1,5,SIPHT,Terminated,0,100000000000,1,6141.451171875,0.829,0,0
15,ID00015,[],1,5,SIPHT,Terminated,0,100000000000,1,6093.09375,1.5145,0,0
16,ID00016,[],1,5,SIPHT,Terminated,0,100000000000,1,6162.6435546875,1.4467,0,0
17,ID00017,[],1,5,SIPHT,Terminated,0,100000000000,1,6113.8701171875,1.5531,0,0
18,ID00018,[],1,10,SIPHT,Terminated,0,100000000000,1,35839.2294921875,10.0,0,0
19,ID00019,[],1,4,SIPHT,Terminated,0,100000000000,1,6933.1279296875,10.0,0,0
20,ID00020,[],1,5,SIPHT,Terminated,0,100000000000,1,6647.474609375,10.0,0,0
21,ID00021,[],1,10,SIPHT,Terminated,0,100000000000,1,243188.03125,10.0,0,0
22,ID00022,"['ID00019', 'ID00018', 'ID00020', 'ID00021']",1,10,SIPHT,Terminated,0,100000000000,1,57857.0185546875,10.0,0,0
23,ID00023,['ID00022'],1,4,SIPHT,Terminated,0,100000000000,1,4871.5712890625,2.0872,0,0
24,ID00024,['ID00022'],1,8,SIPHT,Terminated,0,100000000000,1,1414.5341796875,6.023,0,0
25,ID00025,['ID00022'],1,10,SIPHT,Terminated,0,100000000000,1,268155.3798828125,10.0,0,0
26,ID00026,"['ID00023', 'ID00022']",1,7,SIPHT,Terminated,0,100000000000,1,4462.1533203125,10.0,0,0
27,ID00027,['ID00022'],1,5,SIPHT,Terminated,0,100000000000,1,1926.95703125,5.4378,0,0
28,ID00028,"['ID00027', 'ID00026', 'ID00025', 'ID00024', 'ID00022', 'ID00000']",1,10,SIPHT,Terminated,0,100000000000,1,5347.630859375,1.1573,0,0
