task_id,Unnamed: 0,parents,job_id,instances_num,task_type,status,start_time,end_time,cpu,memory,duration,submit_time,disk,EST,EFT,MET,LFT,VmId,children,initial_EST,initial_EFT,initial_MET,initial_LFT
ID00000_0,0,"['ID00004', 'ID00009', 'ID00007']",ID00000,1,CyberShake,Terminated,0,100000000000,1,903,1,0,0,25.025000000000002,36.3125,11.2875,42.325000000000045,16,[],19.475,30.762500000000003,11.2875,1000.0
ID00000_1,1,"['ID00004', 'ID00009', 'ID00007']",ID00000,1,CyberShake,Terminated,0,100000000000,1,412,1,0,0,25.025000000000002,30.175000000000004,5.15,42.325000000000045,17,[],19.475,24.625,5.15,1000.0
ID00000_2,2,"['ID00004', 'ID00009', 'ID00007']",ID00000,1,CyberShake,Terminated,0,100000000000,1,188,1,0,0,25.025000000000002,27.375000000000004,2.35,42.325000000000045,18,[],19.475,21.825000000000003,2.35,1000.0
ID00000_3,3,"['ID00004', 'ID00009', 'ID00007']",ID00000,1,CyberShake,Terminated,0,100000000000,1,0,1,0,0,25.025000000000002,25.025000000000002,0.0,42.325000000000045,0,[],19.475,19.475,0.0,1000.0
ID00001_0,4,"['ID00006', 'ID00003', 'ID00008']",ID00001,1,CyberShake,Terminated,0,100000000000,1,291,1,0,0,22.675,26.3125,3.6375,42.325000000000045,19,[],12.55,16.1875,3.6375,1000.0
ID00001_1,5,"['ID00006', 'ID00003', 'ID00008']",ID00001,1,CyberShake,Terminated,0,100000000000,1,320,1,0,0,22.675,30.675,8.0,42.325000000000045,8,[],12.55,16.55,4.0,1000.0
ID00001_2,6,"['ID00006', 'ID00003', 'ID00008']",ID00001,1,CyberShake,Terminated,0,100000000000,1,907,1,0,0,22.675,34.0125,11.3375,42.325000000000045,19,[],12.55,23.887500000000003,11.3375,1000.0
ID00001_3,7,"['ID00006', 'ID00003', 'ID00008']",ID00001,1,CyberShake,Terminated,0,100000000000,1,5,1,0,0,22.675,22.8,0.125,42.325000000000045,9,[],12.55,12.6125,0.0625,1000.0
ID00002_0,8,[],ID00002,1,CyberShake,Terminated,0,100000000000,1,930,1,0,0,0.0,23.25,23.25,42.325000000000045,10,[],0.0,11.625,11.625,1000.0
ID00002_1,9,[],ID00002,1,CyberShake,Terminated,0,100000000000,1,784,1,0,0,0.0,19.6,19.6,42.325000000000045,11,[],0.0,9.8,9.8,1000.0
