task_id,Unnamed: 0,parents,job_id,instances_num,task_type,status,start_time,end_time,cpu,memory,duration,submit_time,disk,EST,EFT,MET,LFT,VmId,children,initial_EST,initial_EFT,initial_MET,initial_LFT
ID00000_0,0,"['ID00004', 'ID00009', 'ID00007']",ID00000,1,CyberShake,Terminated,0,100000000000,1,640,1,0,0,24.425,32.425,8.0,45.512500000000045,16,[],20.1,28.1,8.0,1000.0
ID00000_1,1,"['ID00004', 'ID00009', 'ID00007']",ID00000,1,CyberShake,Terminated,0,100000000000,1,483,1,0,0,24.425,30.4625,6.0375,45.512500000000045,17,[],20.1,26.137500000000003,6.0375,1000.0
ID00000_2,2,"['ID00004', 'ID00009', 'ID00007']",ID00000,1,CyberShake,Terminated,0,100000000000,1,687,1,0,0,24.425,33.0125,8.5875,45.512500000000045,18,[],20.1,28.6875,8.5875,1000.0
ID00000_3,3,"['ID00004', 'ID00009', 'ID00007']",ID00000,1,CyberShake,Terminated,0,100000000000,1,3,1,0,0,24.425,24.462500000000002,0.0375,45.512500000000045,19,[],20.1,20.137500000000003,0.0375,1000.0
ID00001_0,4,"['ID00006', 'ID00003', 'ID00008']",ID00001,1,CyberShake,Terminated,0,100000000000,1,744,1,0,0,12.2875,30.887500000000003,18.6,45.512500000000045,10,[],11.475,20.775,9.3,1000.0
ID00001_1,5,"['ID00006', 'ID00003', 'ID00008']",ID00001,1,CyberShake,Terminated,0,100000000000,1,10,1,0,0,12.2875,12.5375,0.25,45.512500000000045,11,[],11.475,11.6,0.125,1000.0
ID00001_2,6,"['ID00006', 'ID00003', 'ID00008']",ID00001,1,CyberShake,Terminated,0,100000000000,1,983,1,0,0,12.2875,24.575,12.2875,45.512500000000045,19,[],11.475,23.7625,12.2875,1000.0
ID00001_3,7,"['ID00006', 'ID00003', 'ID00008']",ID00001,1,CyberShake,Terminated,0,100000000000,1,0,1,0,0,12.2875,12.2875,0.0,45.512500000000045,0,[],11.475,11.475,0.0,1000.0
ID00002_0,8,[],ID00002,1,CyberShake,Terminated,0,100000000000,1,1021,1,0,0,0.0,25.525,25.525,45.512500000000045,11,[],0.0,12.7625,12.7625,1000.0
ID00002_1,9,[],ID00002,1,CyberShake,Terminated,0,100000000000,1,394,1,0,0,0.0,19.7,19.7,45.512500000000045,1,[],0.0,4.925,4.925,1000.0
ID00002_2,10,[],ID00002,1,CyberShake,Terminated,0,100000000000,1,161,1,0,0,0.0,8.05,8.05,45.512500000000045,2,[],0.0,2.0125,2.0125,1000.0
ID00002_3,11,[],ID00002,1,CyberShake,Terminated,0,100000000000,1,67,1,0,0,0.0,3.35,3.35,45.512500000000045,3,[],0.0,0.8375,0.8375,1000.0
ID00002_4,12,[],ID00002,1,CyberShake,Terminated,0,100000000000,1,918,1,0,0,0.0,11.475,11.475,45.512500000000045,16,[],0.0,11.475,11.475,1000.0
ID00003_0,13,[],ID00003,1,CyberShake,Terminated,0,100000000000,1,918,1,0,0,0.0,11.475,11.475,34.03750000000002,16,"['ID00001_0', 'ID00001_1', 'ID00001_2', 'ID00001_3', 'ID00004_0', 'ID00004_1']",0.0,11.475,11.475,982.7875
ID00003_1,14,[],ID00003,1,CyberShake,Terminated,0,100000000000,1,744,1,0,0,0.0,9.3,9.3,36.21250000000009,17,"['ID00001_0', 'ID00001_1', 'ID00001_2', 'ID00001_3', 'ID00004_0', 'ID00004_1']",0.0,9.3,9.3,982.7875
ID00004_0,15,['ID00003'],ID00004,1,CyberShake,Terminated,0,100000000000,1,690,1,0,0,11.475,20.1,8.625,36.887500000000045,16,"['ID00000_0', 'ID00000_1', 'ID00000_2', 'ID00000_3']",11.475,20.1,8.625,991.4125
ID00004_1,16,['ID00003'],ID00004,1,CyberShake,Terminated,0,100000000000,1,640,1,0,0,11.475,19.475,8.0,37.512500000000045,17,"['ID00000_0', 'ID00000_1', 'ID00000_2', 'ID00000_3']",11.475,19.475,8.0,991.4125
ID00005_0,17,[],ID00005,1,CyberShake,Terminated,0,100000000000,1,124,1,0,0,0.0,6.2,6.2,45.512500000000045,3,[],0.0,1.55,1.55,1000.0
ID00005_1,18,[],ID00005,1,CyberShake,Terminated,0,100000000000,1,971,1,0,0,0.0,12.1375,12.1375,45.512500000000045,17,[],0.0,12.1375,12.1375,1000.0
ID00005_2,19,[],ID00005,1,CyberShake,Terminated,0,100000000000,1,1000,1,0,0,0.0,12.5,12.5,45.512500000000045,18,[],0.0,12.5,12.5,1000.0
ID00005_3,20,[],ID00005,1,CyberShake,Terminated,0,100000000000,1,384,1,0,0,0.0,19.2,19.2,45.512500000000045,2,[],0.0,4.8,4.8,1000.0
ID00005_4,21,[],ID00005,1,CyberShake,Terminated,0,100000000000,1,56,1,0,0,0.0,2.8,2.8,45.512500000000045,3,[],0.0,0.7,0.7,1000.0
ID00005_5,22,[],ID00005,1,CyberShake,Terminated,0,100000000000,1,769,1,0,0,0.0,19.225,19.225,45.512500000000045,9,[],0.0,9.6125,9.6125,1000.0
ID00005_6,23,[],ID00005,1,CyberShake,Terminated,0,100000000000,1,355,1,0,0,0.0,17.75,17.75,45.512500000000045,0,[],0.0,4.4375,4.4375,1000.0
ID00006_0,24,[],ID00006,1,CyberShake,Terminated,0,100000000000,1,425,1,0,0,0.0,10.625,10.625,34.887500000000045,8,"['ID00001_0', 'ID00001_1', 'ID00001_2', 'ID00001_3', 'ID00007_0', 'ID00007_1']",0.0,5.3125,5.3125,984.5125
ID00006_1,25,[],ID00006,1,CyberShake,Terminated,0,100000000000,1,10,1,0,0,0.0,0.25,0.25,45.262500000000045,9,"['ID00001_0', 'ID00001_1', 'ID00001_2', 'ID00001_3', 'ID00007_0', 'ID00007_1']",0.0,0.125,0.125,984.5125
ID00007_0,26,['ID00006'],ID00007,1,CyberShake,Terminated,0,100000000000,1,552,1,0,0,10.625,24.425,13.8,31.71250000000009,8,"['ID00000_0', 'ID00000_1', 'ID00000_2', 'ID00000_3']",5.3125,12.2125,6.9,991.4125
ID00007_1,27,['ID00006'],ID00007,1,CyberShake,Terminated,0,100000000000,1,483,1,0,0,10.625,22.7,12.075,33.4375,9,"['ID00000_0', 'ID00000_1', 'ID00000_2', 'ID00000_3']",5.3125,11.35,6.0375,991.4125
ID00008_0,28,[],ID00008,1,CyberShake,Terminated,0,100000000000,1,355,1,0,0,0.0,4.4375,4.4375,41.075000000000045,19,"['ID00001_0', 'ID00001_1', 'ID00001_2', 'ID00001_3', 'ID00009_0', 'ID00009_1']",0.0,4.4375,4.4375,979.5
ID00008_1,29,[],ID00008,1,CyberShake,Terminated,0,100000000000,1,983,1,0,0,0.0,12.2875,12.2875,33.22500000000002,18,"['ID00001_0', 'ID00001_1', 'ID00001_2', 'ID00001_3', 'ID00009_0', 'ID00009_1']",0.0,12.2875,12.2875,979.5
